Country,Date,Sentiment Score,Positive,Negative
ZA,2020-07-13,0.15655076168197876,241,42
DE,2020-07-13,0.129904995175,39,1
HR,2020-07-13,0.2092348484,4,1
LK,2020-07-13,0.24166666674999998,3,1
GT,2020-07-13,0.125,1,1
PL,2020-07-13,0.03685997903448275,56,2
AR,2020-07-13,0.0882196969,9,1
PG,2020-07-13,0.07916666650000001,1,1
AE,2020-07-13,0.14949593457142857,33,9
PH,2020-07-13,0.1269469411542554,164,24
NG,2020-07-13,0.18632714162244904,169,27
FR,2020-07-13,0.20462369228571434,26,2
BS,2020-07-13,-0.2208468615,2,2
AU,2020-07-13,0.11618567250270263,306,64
DO,2020-07-13,0.3416666666,4,1
GB,2020-07-13,0.17098768950299392,1594,243
HK,2020-07-13,0.10749999999999997,3,2
TZ,2020-07-13,0.015000000000000003,3,2
GR,2020-07-13,0.18596819846153848,12,1
LS,2020-07-13,-0.022916666500000002,1,1
IT,2020-07-13,0.16324860853333334,54,6
CH,2020-07-13,0.2598092186153846,12,1
TR,2020-07-13,0.11344696974999997,3,1
GH,2020-07-13,0.1419767875862069,27,2
AT,2020-07-13,0.13118686866666668,8,1
PK,2020-07-13,0.1957882395238095,18,3
TH,2020-07-13,0.11325949222727273,18,4
SA,2020-07-13,0.04376162790909091,6,5
SE,2020-07-13,0.16677097800000001,4,1
US,2020-07-13,0.13944212489561228,3550,780
MK,2020-07-13,-0.027777778,1,1
RS,2020-07-13,-0.2098214285,1,3
JP,2020-07-13,0.15552628554545456,18,4
NL,2020-07-13,0.15592194045714283,30,5
UG,2020-07-13,0.1490850379411765,14,3
BR,2020-07-13,0.17065708104761904,18,3
KE,2020-07-13,0.10830368716666668,23,7
PT,2020-07-13,0.16412913866666667,8,1
QA,2020-07-13,0.024305555583333333,11,1
IL,2020-07-13,0.12968333331999998,24,1
NP,2020-07-13,0.14222756415384613,10,3
IE,2020-07-13,0.1674110165955056,78,11
KW,2020-07-13,0.07523063966666667,14,1
CN,2020-07-13,0.0814455430909091,10,1
CU,2020-07-13,0.10681818166666666,2,1
NZ,2020-07-13,0.13177071027272727,9,2
SG,2020-07-13,0.13361085898387093,47,15
CA,2020-07-13,0.12010252818908629,662,126
IN,2020-07-13,0.158760278841424,533,85
MY,2020-07-13,0.09698254832,47,3
ES,2020-07-13,0.19763237445238094,39,3
ZM,2020-07-20,0.10656960225,3,1
GB,2020-07-20,0.16091469627293217,1149,181
NG,2020-07-20,0.1855742186666667,101,10
ES,2020-07-20,0.09004184576666668,24,6
UG,2020-07-20,0.15426275736363637,10,1
BR,2020-07-20,0.0834893047647059,15,2
ZW,2020-07-20,0.11909722216666667,5,1
PL,2020-07-20,0.060132182853658525,37,4
FR,2020-07-20,0.15056255408,21,4
AU,2020-07-20,0.16529225509137058,170,27
BS,2020-07-20,0.37156285077777773,8,1
RU,2020-07-20,-0.10833333349999999,1,1
DE,2020-07-20,0.07735228315384617,36,3
GF,2020-07-20,0.07316017285714287,4,3
KR,2020-07-20,0.072979798,1,1
MY,2020-07-20,0.1363985115714286,22,6
SG,2020-07-20,0.12659851354545457,31,13
NZ,2020-07-20,0.2188023387,9,1
IL,2020-07-20,0.091,19,1
IE,2020-07-20,0.2220332240506329,76,3
KW,2020-07-20,-0.019504132272727272,10,1
CN,2020-07-20,0.12242424240000001,4,1
BD,2020-07-20,-0.027075702076923076,10,3
ID,2020-07-20,0.21218780381818178,30,3
ZA,2020-07-20,0.20452805153999998,130,20
IN,2020-07-20,0.15622705229195405,381,54
HU,2020-07-20,-0.22499999999999998,1,1
BE,2020-07-20,-0.017460317333333336,5,1
TH,2020-07-20,0.15639618679310344,24,5
JP,2020-07-20,0.11512223884615383,12,1
CG,2020-07-20,0.1302083335,1,1
KE,2020-07-20,0.14790027373529413,30,4
NL,2020-07-20,0.10113656530434785,20,3
JM,2020-07-20,0.13000558792857142,12,2
US,2020-07-20,0.1426229629328123,2702,498
IT,2020-07-20,0.15610718795,34,6
CH,2020-07-20,0.04196428571428571,6,1
KH,2020-07-20,0.07588888883333333,5,1
IS,2020-07-20,-0.011111111000000002,1,1
SA,2020-07-20,-0.04821428575,1,3
NP,2020-07-20,0.1272959182857143,6,1
CA,2020-07-20,0.11850979807068963,486,94
HR,2020-07-20,0.0761363636,3,2
MX,2020-07-20,0.21856105702380957,35,7
PH,2020-07-20,0.19167688266071428,101,11
AE,2020-07-20,0.12914842451851852,22,5
GR,2020-07-20,0.17850895318181817,10,1
LK,2020-07-20,0.15833333333333333,5,1
HK,2020-07-20,0.060147857444444446,15,3
PK,2020-07-20,0.20755291011111113,8,1
GH,2020-07-20,0.10169743066666666,15,3
CO,2020-07-20,-0.01,4,1
PK,2020-07-27,0.08143463405555557,15,3
NG,2020-07-27,0.19188665280136982,132,14
SA,2020-07-27,0.048749999999999995,7,3
NL,2020-07-27,0.13253314389999998,17,3
PH,2020-07-27,0.1726629097058823,136,17
UG,2020-07-27,0.1910098755,14,2
TR,2020-07-27,-0.05416666675,3,1
MX,2020-07-27,0.14776861173469386,36,13
PA,2020-07-27,0.08636363633333334,5,1
BD,2020-07-27,-0.0007846320714285688,13,1
TH,2020-07-27,0.16855701514705884,29,5
BM,2020-07-27,-0.03333333333333333,5,1
PT,2020-07-27,0.11832556323076923,11,2
PF,2020-07-27,0.0202083335,1,1
AU,2020-07-27,0.16006046438666655,183,42
RU,2020-07-27,0.048611111000000005,1,2
BB,2020-07-27,0.00031565633333333065,2,1
NZ,2020-07-27,0.15215548328571432,6,1
MY,2020-07-27,0.15541090588888887,32,4
MQ,2020-07-27,-0.14910714285714283,3,4
PL,2020-07-27,0.07186327548148148,48,6
BE,2020-07-27,0.1463194444,12,3
AT,2020-07-27,0.027662036999999997,4,2
BQ,2020-07-27,-0.043181818,1,1
CA,2020-07-27,0.11418504476993478,647,118
LS,2020-07-27,-0.0066666665,1,1
SG,2020-07-27,0.13103615520512818,29,10
CR,2020-07-27,-0.020833333333333332,2,1
KH,2020-07-27,-0.0301818182,3,2
ZM,2020-07-27,0.04999999999999999,1,2
CN,2020-07-27,0.04575608695238095,14,7
US,2020-07-27,0.14540673403847068,3432,571
DO,2020-07-27,0.19376841322222224,7,2
LY,2020-07-27,0.10902777799999999,1,1
ES,2020-07-27,0.10001610937931035,27,2
GR,2020-07-27,0.206995738625,15,1
AE,2020-07-27,0.19781223889473684,36,2
HK,2020-07-27,0.11462766049999999,18,2
ID,2020-07-27,0.1487607048695652,40,6
ZA,2020-07-27,0.1679307171979695,172,25
HR,2020-07-27,0.07828914133333333,4,2
IE,2020-07-27,0.14176321060919542,67,20
IL,2020-07-27,0.105371212125,39,1
KR,2020-07-27,0.11145292200000001,9,2
BR,2020-07-27,0.12475304026315788,16,3
BS,2020-07-27,0.012224927818181812,8,3
IN,2020-07-27,0.16586805457386358,480,48
IT,2020-07-27,0.18900365794915253,50,9
CH,2020-07-27,0.03264880960000001,7,3
MA,2020-07-27,-0.04999999999999999,1,1
GB,2020-07-27,0.16052055934220777,1300,240
JP,2020-07-27,0.13845135462068967,24,5
GH,2020-07-27,0.12188077417073172,35,6
JM,2020-07-27,0.1635741342142857,12,2
FI,2020-07-27,0.1451704545,3,1
FR,2020-07-27,0.13012483763333327,24,6
KE,2020-07-27,0.02574404019672132,48,13
DE,2020-07-27,0.19331355424137925,27,2
ID,2020-08-03,0.16645504246808507,41,6
JP,2020-08-03,0.09743478429999995,23,7
TR,2020-08-03,0.017969697,3,2
RO,2020-08-03,0.029818181799999992,4,1
ZA,2020-08-03,0.16900707858235295,148,22
JM,2020-08-03,0.1394448953125,14,2
EG,2020-08-03,0.039583333250000005,3,1
ZW,2020-08-03,-0.08657407416666667,3,3
VN,2020-08-03,0.048177083375000006,5,3
IE,2020-08-03,0.19292810915116287,74,12
KR,2020-08-03,0.14934732872727274,9,2
IQ,2020-08-03,-0.052777778,1,1
KE,2020-08-03,0.16979696744897962,42,7
US,2020-08-03,0.15268833109240168,3489,591
BE,2020-08-03,0.1114882133,16,4
IN,2020-08-03,0.19139404102231244,437,56
SG,2020-08-03,0.2155150071388889,35,1
NG,2020-08-03,0.17550925280833332,110,10
IT,2020-08-03,0.07799433129166666,41,7
IS,2020-08-03,0.0954365075,1,1
DK,2020-08-03,0.13505050500000002,8,1
KH,2020-08-03,0.0,1,1
SA,2020-08-03,0.08111499607692307,7,6
NO,2020-08-03,0.16052083325,3,1
TT,2020-08-03,0.17378472224999997,10,2
CA,2020-08-03,0.10827173920693925,674,133
CH,2020-08-03,0.07152777777777777,8,1
MY,2020-08-03,0.1827466343191489,38,9
ES,2020-08-03,0.11598358046153845,33,6
MX,2020-08-03,0.11395722099999998,49,11
BR,2020-08-03,0.14459430071428572,13,1
GF,2020-08-03,-0.10833333325,2,2
PT,2020-08-03,0.17899440837500002,7,1
GT,2020-08-03,0.11666666666666665,2,1
CN,2020-08-03,0.11569258758823532,15,2
BB,2020-08-03,0.09295634914285714,6,1
SE,2020-08-03,0.023125,7,1
GR,2020-08-03,0.14189554272222224,16,2
DE,2020-08-03,0.08780026534210528,34,4
BS,2020-08-03,0.05038562708333333,10,2
PK,2020-08-03,0.12952662033333331,12,3
PH,2020-08-03,0.13692289079999995,107,18
GH,2020-08-03,0.07384173361904763,16,5
GB,2020-08-03,0.14746396120471392,1268,217
NL,2020-08-03,0.13367921831034485,24,5
HR,2020-08-03,0.12984848479999997,4,1
CO,2020-08-03,0.14375,9,1
PE,2020-08-03,-0.03333333333333333,2,1
HK,2020-08-03,0.0792541486,17,3
FR,2020-08-03,0.16239181944444447,26,1
AR,2020-08-03,-0.089004329,4,1
UG,2020-08-03,0.10876106209090909,8,3
AE,2020-08-03,0.128446571,34,7
TH,2020-08-03,0.191565009051282,36,3
PL,2020-08-03,0.08274219456060602,62,4
AU,2020-08-03,0.16732142719354834,237,42
LB,2020-08-03,-0.009375,11,1
JM,2020-08-10,-0.005618686999999997,1,1
PK,2020-08-10,0.009598214250000014,3,1
FR,2020-08-10,0.10305555561538463,12,1
AU,2020-08-10,0.14721400526744186,70,16
PL,2020-08-10,0.017676767555555545,8,1
IT,2020-08-10,0.15882388703703704,24,3
GB,2020-08-10,0.16031266369512193,345,65
GH,2020-08-10,-0.005688131333333332,8,4
ID,2020-08-10,0.19708038163636363,10,1
HU,2020-08-10,-0.041666667,1,1
PE,2020-08-10,-0.14880952400000003,1,1
IE,2020-08-10,0.15942533596875,28,4
ZA,2020-08-10,0.16964764636206903,50,8
NZ,2020-08-10,0.074280303,5,1
PH,2020-08-10,0.16919773713725494,43,8
DE,2020-08-10,0.07010582007142856,12,2
ES,2020-08-10,0.039941077500000005,4,2
IN,2020-08-10,0.16181022145454543,103,18
KE,2020-08-10,0.0721527778,4,1
NG,2020-08-10,0.15467373060465117,38,5
US,2020-08-10,0.13403473562466486,1274,218
SG,2020-08-10,0.08427951387500002,9,7
CA,2020-08-10,0.12498229091304357,231,45
LB,2020-08-10,-0.20125,5,3
MX,2020-08-10,0.13725895313636363,18,4
MY,2020-08-10,0.11987309314285713,11,3
KR,2020-08-10,0.12351641416666669,5,1
AT,2020-08-10,0.09423611116666665,5,1
JP,2020-08-10,0.04414772733333333,7,5
BR,2020-08-10,0.11770833333333335,4,2
ID,2020-08-17,0.23116131140579713,59,10
HR,2020-08-17,-0.0752621882857143,4,3
TH,2020-08-17,0.30789679621428584,24,4
AR,2020-08-17,0.11037984008333333,10,2
PE,2020-08-17,-0.016369047666666674,4,2
BT,2020-08-17,0.3451719576428572,13,1
RU,2020-08-17,0.045422457578947376,17,2
LK,2020-08-17,-0.05833333333333333,5,1
HK,2020-08-17,0.11838023090476193,18,3
AE,2020-08-17,0.1698248106,39,1
HT,2020-08-17,0.04981060599999999,1,1
KY,2020-08-17,-0.025000000000000022,1,1
MX,2020-08-17,0.14955042165079363,52,11
FR,2020-08-17,0.15520866318518517,48,6
PL,2020-08-17,0.08008309905263154,53,4
RO,2020-08-17,-0.16666666666666666,2,1
CN,2020-08-17,0.14526515158333334,11,1
DE,2020-08-17,0.09957941314000002,44,6
GH,2020-08-17,0.072038961,31,4
MV,2020-08-17,0.23888888883333334,5,1
PH,2020-08-17,0.15605470026315796,266,38
MT,2020-08-17,-0.015277777666666667,2,1
PK,2020-08-17,0.21165764790909092,21,1
BS,2020-08-17,0.0458055556,7,3
MA,2020-08-17,0.13,4,1
SE,2020-08-17,0.231056547625,7,1
UG,2020-08-17,0.30580601942857133,6,1
GR,2020-08-17,0.2033669588947368,16,3
TT,2020-08-17,0.1099300144,14,1
BR,2020-08-17,0.0073082009999999925,11,6
KW,2020-08-17,0.10086480184615385,11,2
GB,2020-08-17,0.16894159996235583,1440,207
DO,2020-08-17,-0.01979166666666667,4,2
AU,2020-08-17,0.13902822795563136,248,45
IE,2020-08-17,0.1313479678817204,74,19
US,2020-08-17,0.14723283494494555,4347,757
KE,2020-08-17,0.15968078212820513,33,6
DK,2020-08-17,0.1481944445,3,1
NG,2020-08-17,0.1799069880986842,134,18
BE,2020-08-17,0.1755495806875,14,2
IN,2020-08-17,0.2016981687472925,498,56
CA,2020-08-17,0.11088442431808287,763,155
CL,2020-08-17,0.03703703700000001,7,2
KH,2020-08-17,0.115625,3,1
ES,2020-08-17,0.14259527388679244,47,6
SG,2020-08-17,0.10177436754929577,62,9
IS,2020-08-17,0.18501984125,3,1
NL,2020-08-17,0.19009687208823525,32,2
AT,2020-08-17,0.11962250715384615,11,2
JM,2020-08-17,0.1306131094736842,18,1
SA,2020-08-17,-0.008124999999999999,7,3
IT,2020-08-17,0.16281848174418606,39,4
JP,2020-08-17,0.050114186810810805,24,13
UA,2020-08-17,0.26666666666666666,2,1
CH,2020-08-17,0.08641959363636365,9,2
NZ,2020-08-17,0.1342072999719626,92,15
NP,2020-08-17,0.0591666667,8,2
KR,2020-08-17,0.14475550963636363,17,5
VN,2020-08-17,0.05717893214285714,4,3
ZA,2020-08-17,0.1288666192259259,226,44
IL,2020-08-17,0.0,1,1
MY,2020-08-17,0.08625229180392158,44,7
BD,2020-08-17,0.08905134686666667,13,2
SE,2020-08-24,0.03801181462500001,6,2
NZ,2020-08-24,0.1247026078571428,41,8
GH,2020-08-24,0.08400391273076922,22,4
AU,2020-08-24,0.13987036742704623,245,36
JP,2020-08-24,0.09968010776923074,30,9
UG,2020-08-24,0.15666235772222226,15,3
ID,2020-08-24,0.1335372184237288,53,6
KR,2020-08-24,0.15602095871874996,28,4
TR,2020-08-24,0.02858495650000001,3,1
CH,2020-08-24,0.14883085661538462,10,3
EG,2020-08-24,0.225,1,1
MX,2020-08-24,0.11608968391525423,50,9
PH,2020-08-24,0.14585020336016954,209,27
NG,2020-08-24,0.16870467825153362,143,20
GR,2020-08-24,0.21136784516666665,23,1
CZ,2020-08-24,-0.03645833325,3,1
SA,2020-08-24,0.18951446281818185,10,1
ZW,2020-08-24,0.0892857142,4,1
PL,2020-08-24,0.0809632785,45,3
FR,2020-08-24,0.13601937739285716,25,3
NL,2020-08-24,0.17279880786363633,20,2
IE,2020-08-24,0.11513214142307696,93,11
TH,2020-08-24,0.16844162776923075,23,3
OM,2020-08-24,0.1125,5,1
GB,2020-08-24,0.1635671131848687,1330,190
PK,2020-08-24,0.11649720413333334,13,2
BD,2020-08-24,0.013920454499999999,6,2
TW,2020-08-24,0.226125,4,1
BR,2020-08-24,0.11944444440000002,13,2
IL,2020-08-24,0.18984848459999998,3,2
IN,2020-08-24,0.19859564356751824,484,64
US,2020-08-24,0.14829339852143394,4261,871
HK,2020-08-24,0.13987740435714285,11,3
LK,2020-08-24,0.2761904762222222,8,1
LA,2020-08-24,-0.09999999999999998,1,1
CO,2020-08-24,0.20083333325,3,1
CA,2020-08-24,0.11191655661554398,811,154
BT,2020-08-24,0.39981481483333337,11,1
DE,2020-08-24,0.06804974081578949,31,7
AE,2020-08-24,0.15337923882500004,35,5
VN,2020-08-24,0.208723958375,7,1
HU,2020-08-24,-0.0131944445,1,1
ES,2020-08-24,0.11009297518181818,17,5
CL,2020-08-24,0.14630681816666669,5,1
ZA,2020-08-24,0.13115707229460571,199,42
DZ,2020-08-24,0.138888889,2,1
NP,2020-08-24,0.07946326696296298,20,7
MY,2020-08-24,0.10955248003508772,45,12
UA,2020-08-24,-0.041666666666666664,2,1
KE,2020-08-24,0.2012387944324324,34,3
GT,2020-08-24,0.15,2,1
TT,2020-08-24,0.11788072049999998,12,2
CN,2020-08-24,0.12588077195000003,16,4
CR,2020-08-24,-0.020833333333333332,2,1
VE,2020-08-24,0.03214285714285715,5,2
JM,2020-08-24,0.08917748914285716,26,2
GU,2020-08-24,0.12083333349999999,1,1
DK,2020-08-24,0.22345238087499997,7,1
SG,2020-08-24,0.16662208260869563,43,3
DE,2020-08-31,0.1360316687857143,48,8
VN,2020-08-31,0.046222222199999996,4,1
ZW,2020-08-31,0.213392857,3,1
ES,2020-08-31,0.13555665832258063,27,4
AT,2020-08-31,0.09589947094444444,15,3
DK,2020-08-31,0.235188802125,7,1
PT,2020-08-31,0.026561447833333324,4,2
SZ,2020-08-31,-0.0625,1,1
NZ,2020-08-31,0.15801922283928577,49,7
PL,2020-08-31,0.07538902524324323,35,2
BZ,2020-08-31,0.07118055549999999,1,1
KR,2020-08-31,0.13151235812499998,20,4
MY,2020-08-31,0.2258158589512195,37,4
CA,2020-08-31,0.11034693527586202,648,135
SG,2020-08-31,0.1132278514,38,2
KE,2020-08-31,0.19930930180769232,23,3
BH,2020-08-31,0.17500000000000002,2,1
NG,2020-08-31,0.17479399228037382,90,17
US,2020-08-31,0.14055533108675783,3684,915
JM,2020-08-31,0.15224466895238095,19,2
NL,2020-08-31,0.15807674573913041,20,3
SA,2020-08-31,0.15253474594736843,14,5
IT,2020-08-31,0.0932282003469388,44,5
NO,2020-08-31,0.09399350642857142,6,1
AU,2020-08-31,0.15238432282572614,209,32
JP,2020-08-31,0.11233698595238095,18,3
SI,2020-08-31,0.04523809533333334,2,1
TH,2020-08-31,0.11010709776470587,30,4
BR,2020-08-31,0.05414299241666667,20,4
UG,2020-08-31,0.1374699375,23,1
BS,2020-08-31,0.09382716055555555,8,1
SE,2020-08-31,0.16521551499999998,7,2
TT,2020-08-31,0.11590558361111108,16,2
MX,2020-08-31,0.11617892632258066,53,9
MU,2020-08-31,0.3724537036666667,2,1
MV,2020-08-31,0.19066666660000003,4,1
LK,2020-08-31,0.0023809524999999915,1,1
AG,2020-08-31,0.15138888900000003,1,1
CH,2020-08-31,0.19188311691666668,10,2
HK,2020-08-31,0.015479797933333336,13,2
BB,2020-08-31,-0.0833333335,1,1
GY,2020-08-31,0.0270833335,1,1
VE,2020-08-31,0.05681818166666667,2,1
GR,2020-08-31,0.14713140833333335,20,4
PH,2020-08-31,0.18954002920812174,173,24
GH,2020-08-31,0.06147401044117647,29,5
PK,2020-08-31,0.1139520202222222,7,2
GF,2020-08-31,0.043333333285714294,5,2
GB,2020-08-31,0.16491636241329471,1194,190
FR,2020-08-31,0.08882197473333334,24,6
HR,2020-08-31,0.035896464666666676,2,1
HT,2020-08-31,-0.011111111,1,1
CO,2020-08-31,0.08,6,1
IL,2020-08-31,0.06170634914285714,6,1
BD,2020-08-31,0.13590909080000002,3,2
IE,2020-08-31,0.1728380908734177,69,10
ID,2020-08-31,0.12479558982,46,4
IN,2020-08-31,0.16792463394174761,445,70
NP,2020-08-31,0.13431327161111112,16,2
TZ,2020-08-31,0.16848115514285714,6,1
CN,2020-08-31,0.08698715548148149,22,5
ZA,2020-08-31,0.14309891889962814,230,39
AE,2020-08-31,0.2085952611276596,45,2
BE,2020-08-31,0.19840788839999998,13,2
SA,2020-09-07,0.15185185177777777,7,2
TT,2020-09-07,0.12315830724137929,25,4
SG,2020-09-07,0.022784869839999992,36,14
AE,2020-09-07,0.22019678318181815,40,4
SE,2020-09-07,0.09478038877777778,6,3
AR,2020-09-07,-0.067187500125,5,3
TH,2020-09-07,0.15540206754166666,20,4
CZ,2020-09-07,0.05025252533333333,2,1
MX,2020-09-07,0.14322278301562502,54,10
JM,2020-09-07,0.2077052613125,15,1
MY,2020-09-07,0.09883283825531915,36,11
IT,2020-09-07,0.14147386485454547,52,3
NG,2020-09-07,0.14147344252066116,104,17
IR,2020-09-07,0.0,1,1
NL,2020-09-07,0.19638099741666662,22,2
GR,2020-09-07,0.11977843908333334,8,4
CW,2020-09-07,-0.0833333335,1,1
ZA,2020-09-07,0.14644021980952376,223,29
NP,2020-09-07,0.0809808612631579,15,4
FR,2020-09-07,0.20476901483720933,39,4
KW,2020-09-07,0.031509539777777776,7,2
GF,2020-09-07,0.16090097392857142,12,2
KR,2020-09-07,0.031107226153846153,9,4
CA,2020-09-07,0.13790781898331206,669,110
BS,2020-09-07,0.02473620125,3,1
GB,2020-09-07,0.16445431243001563,1112,174
MA,2020-09-07,0.030781250000000007,2,1
UG,2020-09-07,0.08111111116666665,4,2
KE,2020-09-07,0.1303731290588235,30,4
BR,2020-09-07,0.0564681411875,14,2
JP,2020-09-07,0.17007071904,20,5
MT,2020-09-07,-0.048626373571428565,4,3
US,2020-09-07,0.15848187212394865,3952,687
NZ,2020-09-07,0.1355279537037037,24,3
DE,2020-09-07,0.22015832219047618,40,2
PK,2020-09-07,0.18132440475,7,1
PL,2020-09-07,0.03571789317777777,38,7
AU,2020-09-07,0.133222856688716,208,49
IE,2020-09-07,0.19948169662337667,71,6
PT,2020-09-07,0.22067003366666665,12,3
CN,2020-09-07,0.049563028625000005,19,5
HK,2020-09-07,0.09695987644444444,4,5
AT,2020-09-07,0.141583524875,6,2
QA,2020-09-07,0.1509094982903226,28,3
HT,2020-09-07,0.3541666665,1,1
HR,2020-09-07,0.09805555549999999,6,2
CO,2020-09-07,-0.0021425189999999955,3,1
ID,2020-09-07,0.1920180617462686,62,5
PH,2020-09-07,0.15784572439361705,163,25
DK,2020-09-07,0.21145743133333336,5,1
GH,2020-09-07,0.1426572871,14,6
IN,2020-09-07,0.16415336119205293,405,48
ES,2020-09-07,0.20006711230000002,27,3
CL,2020-09-07,0.07119047619999999,4,1
VN,2020-09-07,-0.0545833334,3,2
BD,2020-09-07,-0.07267992433333334,3,3
GU,2020-09-07,-0.0125,1,1
AR,2020-09-14,0.231111111,2,1
GH,2020-09-14,0.025694444461538457,10,3
KR,2020-09-14,0.07461038960000001,4,1
IN,2020-09-14,0.17705784673199998,224,26
CN,2020-09-14,0.009291726666666666,6,6
GR,2020-09-14,0.09163271352941177,14,3
CA,2020-09-14,0.1198548659632466,556,97
ZA,2020-09-14,0.08060222158928569,133,35
ZW,2020-09-14,0.1,1,1
AE,2020-09-14,0.22179913420000003,22,3
KE,2020-09-14,0.08547639716666666,18,6
JM,2020-09-14,0.1727864583333333,5,1
TR,2020-09-14,0.061643518499999994,5,1
US,2020-09-14,0.13240134288087058,2234,385
IT,2020-09-14,0.1668204389130435,21,2
IE,2020-09-14,0.1565117844909091,47,8
JP,2020-09-14,0.08608585854545453,9,2
SG,2020-09-14,0.027667984173913043,20,3
IR,2020-09-14,-0.012499999999999997,1,1
ID,2020-09-14,0.10513533181578949,35,3
BR,2020-09-14,0.22811868679999997,9,1
BE,2020-09-14,0.05655008416666666,5,1
NP,2020-09-14,0.15555555557142858,6,1
NZ,2020-09-14,0.09716588961538462,11,2
DE,2020-09-14,0.03137926880952381,20,1
ES,2020-09-14,0.13226580041666666,21,3
VN,2020-09-14,-0.076765873,3,4
PH,2020-09-14,0.14845116888181817,100,10
PK,2020-09-14,0.0659222582,4,1
AT,2020-09-14,-0.053601491111111114,5,4
NL,2020-09-14,0.10031220817647059,16,1
PT,2020-09-14,0.24285714285714283,6,1
AU,2020-09-14,0.17895893724778766,94,19
DK,2020-09-14,-0.020833333333333332,2,1
SA,2020-09-14,0.029166666625,6,2
GB,2020-09-14,0.13617314015457774,725,116
SE,2020-09-14,0.44228219700000004,4,1
UG,2020-09-14,0.147172619,3,1
CY,2020-09-14,0.0604166665,3,1
NG,2020-09-14,0.1534150760545455,52,3
MX,2020-09-14,0.042244535333333326,26,10
CZ,2020-09-14,0.075,2,1
MY,2020-09-14,0.16465909085000002,17,3
GB,2020-09-21,0.10920680328278683,418,70
DE,2020-09-21,0.15749704836363637,10,1
CO,2020-09-21,0.3296875,1,1
ES,2020-09-21,0.07333754208333333,10,2
AR,2020-09-21,-0.049999999999999996,2,1
MX,2020-09-21,0.025490079320000004,17,8
MY,2020-09-21,0.14940476192857144,12,2
NG,2020-09-21,0.027722462733333335,27,3
SA,2020-09-21,-0.03333333333333333,4,2
NL,2020-09-21,0.028749999999999998,9,1
NZ,2020-09-21,0.20179545459999998,4,1
PH,2020-09-21,0.16584251361194027,59,8
PL,2020-09-21,0.02967226360606061,27,6
AU,2020-09-21,0.13192468014634146,68,14
AT,2020-09-21,-0.015637400749999995,6,2
ID,2020-09-21,0.0773248105625,15,1
IE,2020-09-21,0.0789283277027027,27,10
AE,2020-09-21,0.15057720054545454,10,1
IN,2020-09-21,0.16725801484848485,91,8
TR,2020-09-21,0.005580873999999999,2,1
ZA,2020-09-21,0.07841926395283019,82,24
JM,2020-09-21,-0.128219697,2,2
US,2020-09-21,0.1146734276850865,1253,249
SG,2020-09-21,0.08524305550000001,15,1
CA,2020-09-21,0.0978690680512048,278,54
TH,2020-09-21,-0.05767045458333334,8,16
SE,2020-09-21,0.1608333335,1,1
TH,2020-09-28,0.10727899294736841,17,2
IN,2020-09-28,0.15711769587301588,114,12
SG,2020-09-28,0.1261949855714286,19,2
DK,2020-09-28,0.10416666666666667,2,1
ES,2020-09-28,0.09036582931578947,17,2
FR,2020-09-28,0.09682539677777777,8,1
GB,2020-09-28,0.12655002620000005,622,98
GR,2020-09-28,0.017869768999999994,9,2
HK,2020-09-28,0.1125,3,1
ID,2020-09-28,0.12898124996,21,4
CO,2020-09-28,0.0,2,1
CN,2020-09-28,0.0676068122,15,5
AT,2020-09-28,-0.27366071425,3,5
AU,2020-09-28,0.08694447503703702,63,18
CA,2020-09-28,0.0820495645381605,430,81
CH,2020-09-28,0.052083333499999995,1,1
ZA,2020-09-28,0.03547402884126986,97,29
IL,2020-09-28,0.17206152427272728,9,2
IE,2020-09-28,0.046247711611940294,56,11
PH,2020-09-28,0.1422940325753425,66,7
PL,2020-09-28,0.033095839333333335,38,4
RU,2020-09-28,-0.2,2,3
RW,2020-09-28,0.11805555566666666,2,1
SA,2020-09-28,0.08,4,1
PT,2020-09-28,0.1688888888,4,1
NG,2020-09-28,0.09078272805555555,33,3
NL,2020-09-28,0.15410839161538462,12,1
MY,2020-09-28,0.04469065656250001,13,3
JM,2020-09-28,0.11666666666666664,1,2
US,2020-09-28,0.12851765291174944,1698,251
JO,2020-09-28,-0.1,1,1
JP,2020-09-28,0.09378945699999999,7,1
KE,2020-09-28,0.1307604712631579,17,2
KR,2020-09-28,0.06791975885714287,11,3
MX,2020-09-28,0.10652555316666666,24,6
TR,2020-09-28,-0.05138888883333334,5,1
ZA,2020-10-05,0.10666248957894738,45,12
US,2020-10-05,0.11817653975260702,1494,232
JP,2020-10-05,-0.016666666700000003,9,1
PL,2020-10-05,0.02087542083333333,35,7
DK,2020-10-05,-0.0359375,1,1
CZ,2020-10-05,0.09583333333333334,2,4
MY,2020-10-05,0.10115914784210527,18,1
JM,2020-10-05,0.07441077433333335,6,3
DE,2020-10-05,0.14830917873913044,18,5
IN,2020-10-05,0.1476895022432433,100,11
PH,2020-10-05,0.15229173604615384,57,8
HK,2020-10-05,0.24882936500000002,4,1
GT,2020-10-05,0.20546085866666666,2,1
IE,2020-10-05,0.11378224603508769,44,13
GR,2020-10-05,0.09699074083333332,5,1
GH,2020-10-05,0.04318181818181818,10,1
GB,2020-10-05,0.10484006788279773,444,85
NG,2020-10-05,0.2564394451363636,21,1
FR,2020-10-05,0.05625000000000001,3,1
